Site Name,Longitude,Latitude,Correlation,P-value
"1 HERRING CREEK RD, AQUINNAH (WAMPANOAG TRIBAL SITE)",70.75,41.25,0.03673021769293624,0.8243201628689858
11775 Brooks School Rd.,86.0,40.0,-0.03248243543957468,0.547053872621149
29 Palms,116.25,33.75,0.08079668562444496,0.20386623924445962
3A_PM2.5,85.25,35.0,0.14286800246072656,0.001344568759562522
4102 Woolworth Ave. on Healthcenter Warehouse,96.0,41.25,0.04773588528272336,0.29712633752804407
5ZS Hobbs Jefferson,103.0,32.75,0.1338485754234409,0.02407889420020408
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",84.0,42.0,0.04620491453127493,0.3794169601312585
6CM Anthony,106.75,32.0,0.07749925897359566,0.03855816889557991
6Q Las Cruces,106.75,32.25,0.010011546431829275,0.8523697252135638
6ZM Desert View,106.75,31.75,-0.04505508684589456,0.3706051926526264
6ZN Santa Teresa,106.75,31.75,0.06412493012939173,0.27227606525881587
904 North Walnut,88.25,40.0,0.0028343601824099155,0.9754897043369477
A Street,147.75,64.75,-0.05541914510832552,0.3068220872542852
A420910013LAT/LON POINT IS OF CORNER OF TRAILER,75.25,40.0,-0.015143707420373874,0.7730832206489294
A421330008LAT/LON POINT AT CORNER OF TRAILER,76.75,40.0,0.0016016679635318474,0.9762838763599123
ABERDEEN - DIVISION ST,123.75,47.0,0.08303594156704382,0.11326337154087941
"ADA COUNTY FAIRGROUNDS, ACROSS INTERSECTION OF ALWORTH AND LORIMAR",116.25,43.75,-0.11364823664414238,0.03406314696688869
AGRICULTURE BUILDING,89.75,39.75,0.0009335945736819229,0.9858378226898779
AIR LAB,84.0,36.0,0.09155316767145436,0.06467596045670188
AJ,71.75,41.75,-0.03356562454342082,0.5403868930691298
ALAMO LAKE,113.75,34.25,0.031322296290397025,0.5563844760487905
ALBANY COUNTY HEALTH DEPT,73.75,42.75,-0.06826580474946094,0.11787512612137528
ALTON HORACE MANN ELEMENTARY SCHOOL,90.25,39.0,0.19256866737488904,0.046901362611327456
AMHERST,78.75,43.0,-0.04409593077478314,0.6253428765056963
APACHE JUNCTION FIRE STATION,111.75,33.25,-0.039867767290379476,0.4617558414492799
APPLETON - AAL,88.25,44.25,-0.04798925881177827,0.19868954179320325
ASHLAND,85.75,33.25,0.16494002466662647,0.0024586691841060287
ASHLAND PRIMARY (FIVCO),82.75,38.25,0.12991118476575175,0.014033325266966913
Aberdeen Bus Stop,98.25,45.25,0.004217720345562435,0.9365267250426753
Air Management Services Laboratory (AMS LAB),75.0,40.0,-0.0019563155585481107,0.974379683380471
Ajax Mountain,106.75,39.25,0.3614880771707547,0.021913277069367035
Alabama Ave. Station,90.0,35.25,0.3719067747878136,0.0003600085014198769
Albany,84.0,31.75,0.17230359593594333,5.303050195489523e-07
Albany - Caliapooia School,123.0,44.75,-0.044163918938748443,0.4001984261672279
Albemarle High School,78.75,38.0,0.05912917441826476,0.24709321422185454
Alexandria,92.25,31.25,0.17561760578535057,0.09779059224472933
Algonquin Parkway,85.75,38.25,-0.02895009217510358,0.5877446096739329
Allen Park,83.25,42.25,0.07054878441994977,0.15040146254572187
Allentown,75.25,40.75,0.0009574179712672875,0.9824066181186563
Alpine,116.75,32.75,0.11304296252141584,0.030834628059898873
Altoona,78.25,40.75,0.05876640096870759,0.2722001207917377
Amanda Elem,84.25,39.25,0.06830397940064702,0.13468676104467442
Amarillo A&M,102.0,35.25,0.1877514323296363,0.00034117262080561833
Anacortes-202 Ave,122.75,48.75,0.14427741471994104,0.0059600146800087815
Anaheim,118.0,33.75,0.019630421983896775,0.6333127388195038
Andersen School,93.25,45.0,-0.05213947135855633,0.1520864427591222
Anderson- Eastside Elem. School,85.75,40.25,-0.028339215501929006,0.5909682140873389
Anoka County Airport,93.25,45.25,-0.04945963345576622,0.1435559239268763
Apollo Beach,82.25,27.75,0.26639928304146365,5.739754750771484e-13
Apple Valley,93.25,44.75,-0.049832612266871384,0.07516784602991948
Aqua Tibia Wilderness,117.0,33.25,-0.17638002817795084,0.4982917497886555
Arapahoe Community College,105.0,39.75,0.023194547137646796,0.8116701256404085
Arendtsville,77.25,40.0,0.016523791430754914,0.7537062754776851
Arkadelphia/Near Road,86.75,33.75,0.1904162572518708,0.07729564301222726
Arnold West,90.25,38.25,0.0434756933574478,0.4095358841809457
Ascarate Park SE,106.25,31.75,0.14296223811884512,0.00666265521529509
Ashland Fire and Rescue Station,122.75,42.25,0.11775796324022765,0.024456614284581894
Athens,83.25,34.0,0.055164485074303,0.1400303577399799
Athens PM 2.5 monitor,84.75,35.25,0.1269561911143232,0.01654411156587923
Atlantic City,74.25,39.25,0.06747041946749624,0.27746834975340745
Auburn-Atwood,121.0,39.0,0.015529610626414002,0.7674645806246481
Augusta,82.0,33.25,0.022178043876152503,0.5005086416236142
"Augusta, LINCOLN STREET ELEMENTARY SCHOOL (ALSS)",69.75,44.25,-0.10077374787709445,0.1300807028970423
Aurora Hills Visitors Center,77.0,38.75,0.014049013322067695,0.8587275345887819
Austin North Hills Drive,97.75,30.25,0.3175960473517815,1.2810196955929303e-09
Austin North Interstate 35,97.75,30.25,0.23695882592801495,6.381433634645364e-06
Austin Webberville Rd,97.75,30.25,0.20079650190504575,0.0003210849313404818
Avalon,80.0,40.25,0.36666104286911777,5.411815536169554e-13
Azalea Park,82.75,27.75,0.19539694458396134,1.1600842666116574e-07
B.F. Pearson School,93.75,44.75,-0.05132676145504947,0.16654105094447205
BABYLON,73.25,40.75,-0.051470501797028057,0.6609863617964761
BAD RIVER TRIBAL SCHOOL - ODANAH,90.75,46.75,0.021305217055063923,0.6849737022966977
BEULAH NORTH,101.75,47.25,0.03740489642052749,0.31285668847600356
BISMARCK RESIDENTIAL,100.75,46.75,0.02547111484604461,0.4569876590070667
BOSTON KENMORE SQ,71.0,42.25,-0.05634606768749554,0.23659628405216435
BOULDER - CU-ATHENS,105.25,40.0,0.12396605887750448,0.3411710196757167
BOULDER CHAMBER OF COMMERCE,105.25,40.0,0.010245277858963097,0.9154009274054117
BPG,84.25,39.25,0.056917161003217004,0.26214950221299854
BROADUS,105.25,45.25,0.09603281734032303,0.07033364947076774
BROOKSIDE TERRACE,79.0,43.0,-0.04389138760263319,0.4090160055360991
BUFFALO,78.75,43.0,-0.05820047069591924,0.2362176641162721
BUTTE,149.0,61.75,-0.058500921808584884,0.2764510432724286
Bakersfield-Airport (Planz),119.0,35.25,-0.0009099150587761556,0.9921639177696886
Bakersfield-California,119.0,35.25,-0.006032236332245968,0.8703118406505501
Bakersfield-Golden / M St,119.0,35.25,-0.02271280067244133,0.6693121659816141
Banning Airport,116.75,34.0,0.03780696056487074,0.4795346263656663
Baptist Childrens' Home,82.0,28.0,0.16604208280541874,8.947943045967535e-06
Batavia,84.25,39.0,0.06257870577042621,0.24157766944800033
Battlement Mesa,108.0,39.25,0.013978350480893709,0.8340948948062306
Baytown,95.0,29.75,0.20683927478094405,9.260191806635032e-05
Beaver Falls,80.25,40.75,0.27720165413758774,1.1454041754560615e-15
Beaverton - Highland Park,122.75,45.25,-0.00798530379854239,0.8794881121685644
Bee Ridge Park,82.75,27.25,0.20977794699992602,1.0530132094808307e-08
Belle Glade,80.75,26.75,0.03886973948123008,0.2942705525534186
Bellevue-SE 12th St,122.25,47.75,0.22145222188950386,1.9595330854326647e-05
Bellingham-Pacific St,122.25,48.75,0.0953218431447809,0.07204481532625141
Ben Franklin School,92.25,44.0,-0.03283600910474623,0.3809742212291349
