"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2007-10",,,,,,,"6","2,N","4","2,N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.91","2,,N,08,",,,,,,,,,,,,,,,,,,,"2.32","2,,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2007-11",,,,,,,"5","5,N","1","5,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","1.01","5,,N,24,",,,,,,,,,,,,,,,,,,,"1.17","5,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2007-12",,,,,,,"3","2,N","1","2,N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.15","2,,N,13,",,,,,,,,,,,,,,,,,,,"0.20","2,,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-01",,,,,,,"10","4,N","5","4,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","1.41","4,,N,19,",,,,,,,,,,,,,,,,,,,"2.85","4,,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-02",,,,,,,"2",",N","1",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,29,+","0.12",",,N,17,",,,,,,,,,,,,,,,,,,,"0.20",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-03",,,,,,,"4","3,N","3","3,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.79","3,,N,11,",,,,,,,,,,,,,,,,,,,"1.59","3,,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-04",,,,,,,"7","3,N","3","3,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,30,+","1.00","3,,N,26,",,,,,,,,,,,,,,,,,,,"1.33","3,,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-06",,,,,,,"1","5,N","0","5,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.04","5,,N,13,",,,,,,,,,,,,,,,,,,,"0.04","5,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-08",,,,,,,"7",",N","6",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",,N,31,+","0.34",",,N,23,",,,,,,,,,,,,,,,,,,,"1.45",",,,N","0.0",",,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-09",,,,,,,"4","1,N","2","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","0.20","1,,N,15,",,,,,,,,,,,,,,,,,,,"0.39","1,,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-11",,,,,,,"6","1,N","3","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","0.20","1,,N,10,",,,,,,,,,,,,,,,,,,,"0.68","1,,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2008-12",,,,,,,"6",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.68",",,N,23,",,,,,,,,,,,,,,,,,,,"0.96",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-01",,,,,,,"5","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.24","1,,N,01,",,,,,,,,,,,,,,,,,,,"0.38","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-02",,,,,,,"4",",N","0",",N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,28,+","0.04",",,N,15,+",,,,,,,,,,,,,,,,,,,"0.12",",,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-03",,,,,,,"6",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.51",",,N,16,",,,,,,,,,,,,,,,,,,,"0.91",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-04",,,,,,,"3","2,N","0","2,N",,,,,,,,,,,,,,,,,,,,,"0.04","2,,N,12,",,,,,,,,,,,,,,,,,,,"0.08","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-06",,,,,,,"1",",N","1",",N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,30,+","0.10",",,N,04,",,,,,,,,,,,,,,,,,,,"0.10",",,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-07",,,,,,,"0","1,N","0","1,N",,,"0","1,N",,,,,,,,,,,,,,,"0.0","1,,N,31,+","0.00","1,,N,31,+",,,,,,,,,,,,,,,,,,,"0.00","1,,,N","0.0","1,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-08",,,,,,,"2",",N","0",",N",,,"0","2,N",,,,,,,,,,,,,,,"0.0","2,,N,31,+","0.05",",,N,31,",,,,,,,,,,,,,,,,,,,"0.09",",,,N","0.0","2,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-10",,,,,,,"8","4,N","8","4,N",,,,,,,,,,,,,,,,,,,,,"3.25","4,,N,27,",,,,,,,,,,,,,,,,,,,"5.13","4,,,N",,,,,,,,,,,,,,,,
